Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Sucre                                             ,2012,"100,00 ","200,00 ","4,00 ","0,02 ","0,03 "
Chocó                                             ,2012,"650,00 ","1.267,50 ","3,90 ","0,11 ","0,19 "
Otros Departamentos                               ,2012,"200,00 ","800,00 ","8,00 ","0,07 ","0,06 "
Cundinamarca                                      ,2012,"9.945,00 ","24.862,50 ","5,00 ","2,18 ","2,88 "
Norte de Santander                                ,2012,"34.116,00 ","103.305,20 ","6,06 ","9,06 ","9,89 "
Atlántico                                         ,2012,"440,00 ","1.320,00 ","6,00 ","0,12 ","0,13 "
Antioquia                                         ,2012,"1.346,00 ","3.537,56 ","5,26 ","0,31 ","0,39 "
Bolívar                                           ,2012,"45.070,00 ","166.823,00 ","7,40 ","14,63 ","13,07 "
Meta                                              ,2012,"240.804,00 ","721.124,00 ","5,99 ","63,25 ","69,84 "
Nariño                                            ,2012,"13.454,00 ","26.904,00 ","4,00 ","2,36 ","3,90 "
La Guajira                                        ,2012,"1.634,00 ","5.568,80 ","6,82 ","0,49 ","0,47 "
Caquetá                                           ,2012,"800,00 ","1.200,00 ","3,00 ","0,11 ","0,23 "
Casanare                                          ,2012,"63.308,00 ","248.841,80 ","7,86 ","21,83 ","18,36 "
Vichada                                           ,2012,"200,00 ","800,00 ","8,00 ","0,07 ","0,06 "
Bolívar                                           ,2013,"51.548,00 ","174.576,52 ","6,77 ","14,43 ","13,53 "
Chocó                                             ,2013,"672,00 ","1.310,40 ","3,90 ","0,11 ","0,18 "
Cesar                                             ,2013,"89.844,00 ","310.898,32 ","6,92 ","25,69 ","23,58 "
Sucre                                             ,2013,"214,00 ","731,88 ","6,84 ","0,06 ","0,06 "
Antioquia                                         ,2013,"1.922,00 ","6.466,92 ","6,73 ","0,53 ","0,50 "
Meta                                              ,2013,"271.714,00 ","822.147,50 ","6,05 ","67,94 ","71,30 "
Arauca                                            ,2013,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Atlántico                                         ,2013,"440,00 ","1.320,00 ","6,00 ","0,11 ","0,12 "
Cauca                                             ,2013,"1.248,00 ","4.268,16 ","6,84 ","0,35 ","0,33 "
La Guajira                                        ,2013,"2.038,00 ","6.776,00 ","6,65 ","0,56 ","0,53 "
Magdalena                                         ,2013,"75.670,00 ","260.629,00 ","6,89 ","21,54 ","19,86 "
Tolima                                            ,2013,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Nariño                                            ,2013,"19.404,00 ","38.809,76 ","4,00 ","3,21 ","5,09 "
Casanare                                          ,2013,"91.280,00 ","317.573,00 ","6,96 ","26,24 ","23,95 "
Caquetá                                           ,2013,"720,00 ","2.016,00 ","5,60 ","0,17 ","0,19 "
Cundinamarca                                      ,2013,"7.252,00 ","22.553,72 ","6,22 ","1,86 ","1,90 "
Otros Departamentos                               ,2013,"2.000,00 ","6.132,00 ","6,13 ","0,51 ","0,52 "
Vichada                                           ,2013,"2.000,00 ","6.132,00 ","6,13 ","0,51 ","0,52 "
Córdoba                                           ,2013,"620,00 ","1.968,60 ","6,35 ","0,16 ","0,16 "
Norte de Santander                                ,2013,"39.334,00 ","116.452,40 ","5,92 ","9,62 ","10,32 "
Santander                                         ,2013,"104.226,96 ","319.506,24 ","6,13 ","26,40 ","27,35 "
Tolima                                            ,2014,"20,00 ","56,00 ","5,60 ","0,00 ","0,00 "
Antioquia                                         ,2014,"2.522,00 ","7.891,20 ","6,26 ","0,58 ","0,58 "
Otros Departamentos                               ,2014,"2.000,00 ","6.220,00 ","6,22 ","0,46 ","0,46 "
Cesar                                             ,2014,"132.892,00 ","424.762,80 ","6,39 ","31,26 ","30,76 "
Cundinamarca                                      ,2014,"10.232,00 ","35.453,88 ","6,93 ","2,61 ","2,37 "
Bolívar                                           ,2014,"55.272,00 ","203.967,20 ","7,38 ","15,01 ","12,79 "
Nariño                                            ,2014,"24.996,00 ","51.788,00 ","4,14 ","3,81 ","5,79 "
La Guajira                                        ,2014,"2.926,00 ","7.710,00 ","5,27 ","0,57 ","0,68 "
Santander                                         ,2014,"117.647,56 ","363.625,60 ","6,18 ","26,76 ","27,23 "
Cauca                                             ,2014,"1.248,00 ","4.268,16 ","6,84 ","0,31 ","0,29 "
Magdalena                                         ,2014,"79.620,00 ","269.385,60 ","6,77 ","19,83 ","18,43 "
Meta                                              ,2014,"279.134,00 ","824.125,14 ","5,90 ","60,66 ","64,60 "
Caquetá                                           ,2014,"720,00 ","1.800,00 ","5,00 ","0,13 ","0,17 "
Casanare                                          ,2014,"107.358,00 ","376.531,60 ","7,01 ","27,71 ","24,85 "
