Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Otros Departamentos                               ,2007,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Putumayo                                          ,2007,"395,00 ","205,00 ","0,52 ","0,36 ","0,37 "
Quindío                                           ,2007,"31,00 ","9,70 ","0,31 ","0,02 ","0,03 "
Risaralda                                         ,2007,"946,00 ","597,22 ","0,63 ","1,04 ","0,89 "
Santander                                         ,2007,"37.119,93 ","21.793,15 ","0,59 ","37,92 ","35,00 "
Sucre                                             ,2007,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Tolima                                            ,2007,"7.620,20 ","4.505,50 ","0,59 ","7,84 ","7,19 "
Valle del Cauca                                   ,2007,"458,10 ","231,84 ","0,51 ","0,40 ","0,43 "
Vichada                                           ,2007,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Amazonas                                          ,2008,"4,00 ","7,75 ","1,94 ","0,01 ","0,00 "
Antioquia                                         ,2008,"6.234,00 ","2.574,00 ","0,41 ","4,38 ","5,78 "
Arauca                                            ,2008,"10.036,00 ","7.269,00 ","0,72 ","12,37 ","9,31 "
Bolívar                                           ,2008,"2.183,00 ","536,00 ","0,25 ","0,91 ","2,03 "
Boyacá                                            ,2008,"1.813,50 ","1.095,20 ","0,60 ","1,86 ","1,68 "
Caldas                                            ,2008,"1.130,50 ","705,50 ","0,62 ","1,20 ","1,05 "
Caquetá                                           ,2008,"425,50 ","186,90 ","0,44 ","0,32 ","0,39 "
Casanare                                          ,2008,"37,40 ","24,16 ","0,65 ","0,04 ","0,03 "
Cauca                                             ,2008,"336,68 ","194,61 ","0,58 ","0,33 ","0,31 "
Cesar                                             ,2008,"5.745,00 ","3.420,00 ","0,60 ","5,82 ","5,33 "
Chocó                                             ,2008,"959,50 ","304,10 ","0,32 ","0,52 ","0,89 "
Córdoba                                           ,2008,"512,00 ","304,00 ","0,59 ","0,52 ","0,48 "
Cundinamarca                                      ,2008,"2.646,00 ","1.561,08 ","0,59 ","2,66 ","2,46 "
Guainía                                           ,2008,"58,33 ","14,50 ","0,25 ","0,02 ","0,05 "
Guaviare                                          ,2008,"20,00 ","6,00 ","0,30 ","0,01 ","0,02 "
Huila                                             ,2008,"8.306,70 ","4.036,98 ","0,49 ","6,87 ","7,71 "
La Guajira                                        ,2008,"276,00 ","197,20 ","0,71 ","0,34 ","0,26 "
Magdalena                                         ,2008,"1.448,00 ","905,00 ","0,63 ","1,54 ","1,34 "
Meta                                              ,2008,"1.462,00 ","860,70 ","0,59 ","1,46 ","1,36 "
Nariño                                            ,2008,"7.141,00 ","1.947,53 ","0,27 ","3,31 ","6,63 "
Norte de Santander                                ,2008,"11.196,50 ","5.477,39 ","0,49 ","9,32 ","10,39 "
Otros Departamentos                               ,2008,"90,00 ","32,60 ","0,36 ","0,06 ","0,08 "
Putumayo                                          ,2008,"453,00 ","177,30 ","0,39 ","0,30 ","0,42 "
Quindío                                           ,2008,"67,00 ","17,87 ","0,27 ","0,03 ","0,06 "
Risaralda                                         ,2008,"1.066,00 ","616,30 ","0,58 ","1,05 ","0,99 "
Santander                                         ,2008,"36.024,25 ","21.368,06 ","0,59 ","36,37 ","33,43 "
Sucre                                             ,2008,"20,00 ","6,00 ","0,30 ","0,01 ","0,02 "
Tolima                                            ,2008,"7.498,00 ","4.601,50 ","0,61 ","7,83 ","6,96 "
Valle del Cauca                                   ,2008,"493,40 ","275,05 ","0,56 ","0,47 ","0,46 "
